sourceProject,sourceScenarioKey,sourceCaseKey,caseKey,caseName,caseWeight,scenarioKey,scenario,directionalScore,legalStability,rightsProtection,democraticResponsiveness,independenceAccountabilityBalance,legitimacy,partisanAlignment,shadowDocketAbuse,constitutionalConflict,reversalRate
Supreme Court Simulator Design,panel-en-banc,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.602,0.667,0.634,0.585,0.747,0.621,0.046,0.073,0.381,0.032
Supreme Court Simulator Design,cross-checking-courts,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.587,0.668,0.614,0.571,0.744,0.583,0.020,0.067,0.401,0.019
Supreme Court Simulator Design,dual-supreme-courts,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.575,0.640,0.634,0.585,0.742,0.591,0.017,0.066,0.413,0.037
Supreme Court Simulator Design,comparative-constitutional-senates,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.596,0.676,0.626,0.577,0.746,0.610,0.026,0.067,0.381,0.026
Supreme Court Simulator Design,constitutional-council,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.597,0.668,0.638,0.604,0.757,0.637,0.037,0.073,0.395,0.033
Supreme Court Simulator Design,legislative-override,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.600,0.661,0.635,0.588,0.745,0.579,0.018,0.072,0.394,0.036
Supreme Court Simulator Design,accountability-retention-court,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.602,0.665,0.632,0.595,0.745,0.582,0.033,0.074,0.394,0.033
Supreme Court Simulator Design,emergency-restraint-court,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.608,0.664,0.641,0.592,0.758,0.629,0.034,0.011,0.381,0.041
Supreme Court Simulator Design,randomized-merits-panels,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.601,0.666,0.634,0.583,0.748,0.622,0.045,0.071,0.378,0.033
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.602,0.667,0.635,0.586,0.745,0.583,0.039,0.047,0.385,0.035
Supreme Court Simulator Design,automatic-merits-follow-up,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.604,0.658,0.640,0.592,0.756,0.611,0.037,0.017,0.380,0.044
Supreme Court Simulator Design,strong-recusal-enforcement,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.600,0.665,0.637,0.585,0.746,0.596,0.028,0.072,0.382,0.034
Supreme Court Simulator Design,jurisdiction-stripping-constraints,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.605,0.660,0.637,0.590,0.750,0.582,0.018,0.074,0.391,0.034
Supreme Court Simulator Design,legislative-override-window,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.600,0.663,0.638,0.592,0.743,0.580,0.019,0.077,0.401,0.032
Supreme Court Simulator Design,constitutional-remand,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.604,0.688,0.630,0.598,0.756,0.608,0.028,0.073,0.376,0.024
Supreme Court Simulator Design,public-interest-litigation-filter,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.603,0.667,0.637,0.587,0.745,0.587,0.032,0.074,0.382,0.033
Supreme Court Simulator Design,emergency-integrity-package,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.602,0.662,0.640,0.590,0.758,0.631,0.028,0.017,0.380,0.039
Supreme Court Simulator Design,remand-override-window-package,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.601,0.690,0.630,0.600,0.757,0.613,0.030,0.047,0.380,0.025
Supreme Court Simulator Design,panel-jurisdiction-safeguards,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.598,0.665,0.632,0.587,0.749,0.622,0.046,0.066,0.392,0.031
Supreme Court Simulator Design,council-concrete-hybrid,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.596,0.678,0.633,0.600,0.756,0.639,0.023,0.076,0.390,0.027
Supreme Court Simulator Design,judicial-electorate-selection,partisan-appointment-pressure,scd__partisan-appointment-pressure,Supreme Court Simulator Design: Partisan Appointment Pressure,1.000,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.596,0.667,0.634,0.587,0.748,0.596,0.025,0.073,0.383,0.036
Supreme Court Simulator Design,current-us-like,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.533,0.520,0.595,0.592,0.643,0.444,0.051,0.291,0.549,0.093
Supreme Court Simulator Design,term-limited-balanced,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.541,0.510,0.584,0.618,0.694,0.573,0.046,0.095,0.509,0.135
Supreme Court Simulator Design,nonpartisan-commission,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.538,0.508,0.589,0.621,0.697,0.581,0.032,0.096,0.512,0.139
Supreme Court Simulator Design,expanded-court-fifteen,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.535,0.509,0.588,0.621,0.697,0.584,0.031,0.098,0.512,0.137
Supreme Court Simulator Design,supermajority-review,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.546,0.530,0.576,0.609,0.690,0.558,0.050,0.089,0.507,0.119
Supreme Court Simulator Design,recusal-and-emergency-reform,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.538,0.510,0.591,0.621,0.696,0.581,0.051,0.096,0.509,0.137
Supreme Court Simulator Design,panel-en-banc,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.536,0.509,0.593,0.622,0.699,0.626,0.049,0.099,0.514,0.133
Supreme Court Simulator Design,cross-checking-courts,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.532,0.557,0.551,0.588,0.693,0.583,0.021,0.091,0.527,0.083
Supreme Court Simulator Design,dual-supreme-courts,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.510,0.487,0.585,0.621,0.694,0.584,0.020,0.093,0.542,0.142
Supreme Court Simulator Design,comparative-constitutional-senates,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__comparative-constitutional-senates,Supreme Court Simulator Design: Comparative 16-seat constitutional senates,0.539,0.540,0.574,0.605,0.698,0.608,0.027,0.089,0.501,0.115
Supreme Court Simulator Design,constitutional-council,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__constitutional-council,Supreme Court Simulator Design: Pre-enactment constitutional council,0.526,0.509,0.593,0.656,0.709,0.652,0.039,0.097,0.548,0.134
Supreme Court Simulator Design,legislative-override,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__legislative-override,Supreme Court Simulator Design: Judicial review with legislative supermajority override,0.530,0.499,0.592,0.634,0.695,0.581,0.020,0.096,0.548,0.139
Supreme Court Simulator Design,accountability-retention-court,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__accountability-retention-court,Supreme Court Simulator Design: Retention-election accountability court,0.534,0.507,0.575,0.645,0.696,0.582,0.030,0.098,0.542,0.132
Supreme Court Simulator Design,emergency-restraint-court,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__emergency-restraint-court,Supreme Court Simulator Design: No emergency relief without merits review,0.541,0.487,0.603,0.638,0.717,0.641,0.035,0.018,0.514,0.160
Supreme Court Simulator Design,randomized-merits-panels,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__randomized-merits-panels,Supreme Court Simulator Design: Randomized merits panels with en banc correction,0.536,0.513,0.589,0.619,0.700,0.621,0.048,0.096,0.506,0.135
Supreme Court Simulator Design,mandatory-written-emergency-reasoning,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__mandatory-written-emergency-reasoning,Supreme Court Simulator Design: Mandatory written emergency reasoning,0.538,0.518,0.582,0.615,0.695,0.571,0.050,0.067,0.508,0.131
Supreme Court Simulator Design,automatic-merits-follow-up,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__automatic-merits-follow-up,Supreme Court Simulator Design: Automatic merits follow-up for emergency relief,0.537,0.486,0.602,0.636,0.713,0.622,0.050,0.026,0.511,0.159
Supreme Court Simulator Design,strong-recusal-enforcement,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__strong-recusal-enforcement,Supreme Court Simulator Design: Independent recusal enforcement with substitutes,0.536,0.511,0.588,0.619,0.698,0.593,0.031,0.096,0.508,0.133
Supreme Court Simulator Design,jurisdiction-stripping-constraints,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__jurisdiction-stripping-constraints,Supreme Court Simulator Design: Jurisdiction stripping constrained by rights carveouts,0.535,0.496,0.593,0.633,0.701,0.584,0.020,0.095,0.537,0.142
Supreme Court Simulator Design,legislative-override-window,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__legislative-override-window,Supreme Court Simulator Design: Time-limited legislative override window,0.532,0.501,0.592,0.635,0.696,0.581,0.020,0.097,0.547,0.132
Supreme Court Simulator Design,constitutional-remand,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__constitutional-remand,Supreme Court Simulator Design: Constitutional remand before invalidation,0.550,0.568,0.590,0.642,0.709,0.619,0.035,0.099,0.516,0.095
Supreme Court Simulator Design,public-interest-litigation-filter,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__public-interest-litigation-filter,Supreme Court Simulator Design: Public-interest litigation filter,0.539,0.510,0.598,0.623,0.700,0.590,0.035,0.095,0.510,0.137
Supreme Court Simulator Design,emergency-integrity-package,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__emergency-integrity-package,Supreme Court Simulator Design: Emergency integrity package,0.537,0.489,0.605,0.637,0.720,0.643,0.029,0.026,0.509,0.158
Supreme Court Simulator Design,remand-override-window-package,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__remand-override-window-package,Supreme Court Simulator Design: Constitutional remand with override window,0.547,0.573,0.585,0.637,0.709,0.619,0.032,0.070,0.515,0.098
Supreme Court Simulator Design,panel-jurisdiction-safeguards,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__panel-jurisdiction-safeguards,Supreme Court Simulator Design: Random panels with jurisdiction safeguards,0.534,0.529,0.573,0.615,0.696,0.611,0.046,0.093,0.525,0.121
Supreme Court Simulator Design,council-concrete-hybrid,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__council-concrete-hybrid,Supreme Court Simulator Design: Constitutional council with concrete-review backstop,0.525,0.516,0.594,0.652,0.710,0.652,0.026,0.097,0.546,0.129
Supreme Court Simulator Design,judicial-electorate-selection,rights-risk-legislation,scd__rights-risk-legislation,Supreme Court Simulator Design: Rights-Risk Legislation,1.000,scd__judicial-electorate-selection,Supreme Court Simulator Design: Judicial electorate selection court,0.530,0.508,0.590,0.622,0.701,0.597,0.028,0.096,0.510,0.135
Supreme Court Simulator Design,current-us-like,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__current-us-like,Supreme Court Simulator Design: Stylized current U.S.-like supreme court,0.526,0.570,0.664,0.593,0.606,0.403,0.063,0.419,0.603,0.060
Supreme Court Simulator Design,term-limited-balanced,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__term-limited-balanced,Supreme Court Simulator Design: 18-year staggered terms + regular appointments,0.547,0.594,0.633,0.606,0.676,0.579,0.062,0.152,0.531,0.097
Supreme Court Simulator Design,nonpartisan-commission,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__nonpartisan-commission,Supreme Court Simulator Design: Nonpartisan commission appointments,0.542,0.589,0.634,0.611,0.679,0.594,0.038,0.153,0.538,0.101
Supreme Court Simulator Design,expanded-court-fifteen,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__expanded-court-fifteen,Supreme Court Simulator Design: Expanded 15-seat court,0.539,0.592,0.633,0.608,0.678,0.596,0.038,0.153,0.536,0.095
Supreme Court Simulator Design,supermajority-review,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__supermajority-review,Supreme Court Simulator Design: 60 percent invalidation threshold,0.548,0.609,0.623,0.599,0.669,0.566,0.056,0.142,0.538,0.075
Supreme Court Simulator Design,recusal-and-emergency-reform,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__recusal-and-emergency-reform,Supreme Court Simulator Design: Peer recusal + reasoned emergency docket,0.540,0.590,0.631,0.609,0.674,0.590,0.066,0.152,0.536,0.102
Supreme Court Simulator Design,panel-en-banc,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__panel-en-banc,Supreme Court Simulator Design: Three-judge panels with en banc correction,0.540,0.589,0.634,0.612,0.681,0.635,0.061,0.155,0.537,0.103
Supreme Court Simulator Design,cross-checking-courts,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__cross-checking-courts,Supreme Court Simulator Design: Supreme court with cross-checking constitutional court,0.526,0.607,0.604,0.589,0.675,0.590,0.024,0.143,0.563,0.055
Supreme Court Simulator Design,dual-supreme-courts,shadow-docket-stress,scd__shadow-docket-stress,Supreme Court Simulator Design: Shadow-Docket Stress,1.000,scd__dual-supreme-courts,Supreme Court Simulator Design: Dual supreme courts with disagreement filter,0.507,0.558,0.632,0.609,0.672,0.595,0.024,0.143,0.575,0.102
